prior_rule,beta_mode,width,input_dim,signal_amplitude,gamma,prior_probability,prior_expected_count,latent_amplitude,expected_latent_amplitude,gate_probability_max_error,amplitude_max_error,decoder_unit_norm_max_error,posterior_mean_max_error,recon,variance,expected_variance,energy,prior,entropy,kl,loss,expected_loss,absolute_loss_error,beta_eff,expected_beta_eff,posterior_expected_count,hard_active_count,soft_nmse,hard_nmse,profiled_clamps_inactive
fixed_gamma,learned,4,8,1.0,2.0,0.11920292202211755,0.4768116880884702,2.0972640247326626,2.0972640247326626,0.0,0.0,0.0,1.1102230246251565e-16,6.162975822039155e-33,0.9236320123663312,0.9236320123663313,0.9236320123663312,1.4613354203488305,1.4613354203488305,0.0,6.426183568130263,6.426183568130263,0.0,2.0,2.0,0.4768116880884702,0,1.232595164407831e-32,1.0,True
fixed_gamma,learned,16,8,1.0,2.0,0.11920292202211755,1.9072467523538807,0.5243160061831657,0.5243160061831657,0.0,0.0,0.0,1.1102230246251565e-16,6.162975822039155e-33,0.2309080030915828,0.23090800309158283,0.2309080030915828,5.845341681395322,5.845341681395322,0.0,5.040735549580766,5.040735549580766,0.0,2.0,2.0,1.9072467523538807,0,1.232595164407831e-32,1.0,True
fixed_gamma,learned,64,8,1.0,2.0,0.11920292202211755,7.628987009415523,0.1310790015457914,0.1310790015457914,0.0,0.0,0.0,1.1102230246251565e-16,6.162975822039155e-33,0.0577270007728957,0.057727000772895706,0.0577270007728957,23.381366725581287,23.381366725581287,0.0,4.694373544943392,4.694373544943392,0.0,2.0,2.0,7.628987009415523,0,1.232595164407831e-32,1.0,True
fixed_gamma,learned,256,8,1.0,2.0,0.11920292202211755,30.515948037662092,0.03276975038644785,0.03276975038644785,0.0,0.0,0.0,1.1102230246251565e-16,6.162975822039155e-33,0.014431750193223928,0.014431750193223927,0.014431750193223928,93.52546690232515,93.52546690232518,-2.842170943040401e-14,4.607783043784025,4.607783043784049,2.398081733190338e-14,2.0,2.0,30.515948037662096,0,1.232595164407831e-32,1.0,True
fixed_gamma,profiled,4,8,1.0,2.0,0.11920292202211755,0.4768116880884702,2.0972640247326626,2.0972640247326626,0.0,0.0,0.0,1.1102230246251565e-16,6.162975822039155e-33,0.9236320123663312,0.9236320123663313,0.9236320123663312,1.4613354203488305,1.4613354203488305,0.0,-5.862943611198906,-5.862943611198906,0.0,4.3307290635716065,4.3307290635716065,0.4768116880884702,0,1.232595164407831e-32,1.0,True
fixed_gamma,profiled,16,8,1.0,2.0,0.11920292202211755,1.9072467523538807,0.5243160061831657,0.5243160061831657,0.0,0.0,0.0,1.1102230246251565e-16,6.162975822039155e-33,0.2309080030915828,0.23090800309158283,0.2309080030915828,5.845341681395322,5.845341681395322,0.0,-11.40812105567847,-11.40812105567847,0.0,17.322916254286426,17.322916254286426,1.9072467523538807,0,1.232595164407831e-32,1.0,True
fixed_gamma,profiled,64,8,1.0,2.0,0.11920292202211755,7.628987009415523,0.1310790015457914,0.1310790015457914,0.0,0.0,0.0,1.1102230246251565e-16,6.162975822039155e-33,0.0577270007728957,0.057727000772895706,0.0577270007728957,23.381366725581287,23.381366725581287,0.0,-16.95329850015803,-16.95329850015803,0.0,69.2916650171457,69.2916650171457,7.628987009415523,0,1.232595164407831e-32,1.0,True
fixed_gamma,profiled,256,8,1.0,2.0,0.11920292202211755,30.515948037662092,0.03276975038644785,0.03276975038644785,0.0,0.0,0.0,1.1102230246251565e-16,6.162975822039155e-33,0.014431750193223928,0.014431750193223927,0.014431750193223928,93.52546690232515,93.52546690232518,-2.842170943040401e-14,-22.49847594463762,-22.498475944637594,2.4868995751603507e-14,277.16666006858276,277.1666600685828,30.515948037662096,0,1.232595164407831e-32,1.0,True
fixed_expected_count,learned,4,8,1.0,1.0986122886681098,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.375,2.249340578475233,2.249340578475233,0.0,5.328919543397601,5.328919543397601,0.0,2.0,2.0,1.0,0,0.0,1.0,True
fixed_expected_count,learned,16,8,1.0,2.70805020110221,0.0625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.46875,0.46875,0.46875,3.7406665393033487,3.7406665393033487,0.0,5.516419543397601,5.516419543397601,0.0,2.0,2.0,1.0,0,0.0,1.0,True
