model,width,lambda,mse,rho,entropy,v_eff,dead_fraction,interference_energy,variance_energy,decoder_recovery_cosine,support_precision,support_recall,amplitude_shrinkage,susceptibility
vg,32,-1.0,0.05113828182220459,0.399640291929245,0.5609748363494873,0.18998953700065613,0.0,5.593620777130127,1.2081162929534912,0.6242350339889526,0.10433979686057249,0.44227005870841485,0.961467444896698,0.060166627168655396
vg,32,0.0,0.05370908975601196,0.3394736647605896,0.5861362814903259,0.19951650500297546,0.0,3.938131093978882,1.2348421812057495,0.650921106338501,0.13153384747215083,0.30039138943248533,0.8020949959754944,0.08210672438144684
vg,32,1.0,0.07879982888698578,0.23542684316635132,0.5344782471656799,0.17547591030597687,0.0,1.9046192169189453,1.3226395845413208,0.6571701169013977,0.463855421686747,0.07534246575342465,0.6035506725311279,0.1097160130739212
vg,32,2.0,0.10801147669553757,0.12004163861274719,0.35957884788513184,0.10340067744255066,0.0,0.5643977522850037,1.0312795639038086,0.67214435338974,0.5849056603773585,0.030332681017612523,0.370079904794693,0.08405333757400513
vg,32,3.0,0.16048525273799896,0.06732016801834106,0.24058911204338074,0.061648935079574585,0.0,0.2100161612033844,0.7188771963119507,0.6513339281082153,0.6842105263157895,0.012720156555772993,0.20565257966518402,0.05272147059440613
l1,32,,0.0040646628476679325,0.76129150390625,,,,,,0.5889209508895874,,,,
topk,32,,0.06977060437202454,0.0625,,,,,,0.6447722911834717,,,,
gated,32,,0.012666427530348301,0.219952791929245,,,,,,0.6281528472900391,,,,
vg,64,-1.0,0.0668300986289978,0.4442698359489441,0.5540711879730225,0.1878015100955963,0.0,31.892963409423828,2.1864256858825684,0.6291121244430542,0.07769339898189101,0.4784172661870504,1.6804156303405762,0.08265334367752075
vg,64,0.0,0.06666507571935654,0.36161649227142334,0.597230076789856,0.20507685840129852,0.0,19.370014190673828,2.342700958251953,0.6478617191314697,0.09264957264957265,0.27852004110996914,1.4768898487091064,0.1028963178396225
vg,64,1.0,0.10697215050458908,0.2384772002696991,0.5403425097465515,0.1781487911939621,0.0,7.6501898765563965,2.594743013381958,0.6666006445884705,0.42138364779874216,0.03442959917780062,1.234539270401001,0.12046598270535469
vg,64,2.0,0.16369512677192688,0.12068452686071396,0.3626301884651184,0.10457807779312134,0.0,2.0825443267822266,2.063549518585205,0.6699044704437256,0.5833333333333334,0.014388489208633094,0.8375104069709778,0.08626016229391098
vg,64,3.0,0.23214516043663025,0.06595687568187714,0.2374800592660904,0.060621295124292374,0.0,0.6970672607421875,1.5471794605255127,0.655049204826355,0.5833333333333334,0.007194244604316547,0.569959819316864,0.05472765117883682
l1,64,,0.005796032026410103,0.631988525390625,,,,,,0.5810246467590332,,,,
topk,64,,0.07794713973999023,0.0625,,,,,,0.6383743286132812,,,,
gated,64,,0.011687244288623333,0.18910528719425201,,,,,,0.6162184476852417,,,,
