alpha,lambda,mse,rho,v_eff,entropy,interference_energy,dead_fraction,decoder_recovery_cosine,support_precision,support_recall,phase,phase_name
0.0,-1.0,0.07276712357997894,0.4190610349178314,0.1948288083076477,0.5720831155776978,13.0806884765625,0.0,0.7371397614479065,0.12101143889223359,0.45681818181818185,2,uncertain/interference
0.0,0.0,0.06954362988471985,0.36948418617248535,0.201011523604393,0.5884662866592407,9.596799850463867,0.0,0.7599482536315918,0.1375233354075918,0.33484848484848484,2,uncertain/interference
0.0,1.0,0.13890156149864197,0.2363777756690979,0.17479915916919708,0.5325077772140503,3.637777805328369,0.0,0.7719231843948364,0.3022222222222222,0.051515151515151514,1,recovery
0.0,2.0,0.22239351272583008,0.12153710424900055,0.1046791598200798,0.36233246326446533,0.9853746891021729,0.0,0.7820422053337097,0.48148148148148145,0.009848484848484848,0,under-selected
0.0,3.0,0.3261137306690216,0.06807629019021988,0.06219317018985748,0.24118180572986603,0.32767990231513977,0.0,0.7399877309799194,0.46153846153846156,0.004545454545454545,0,under-selected
0.5,-1.0,0.10821090638637543,0.3638266921043396,0.1771419793367386,0.5297974348068237,9.710886001586914,0.0,0.7244026064872742,0.11355849241311797,0.3447251114413076,2,uncertain/interference
0.5,0.0,0.10459013283252716,0.3115342855453491,0.18597908318042755,0.5537137985229492,6.561001777648926,0.0,0.7320148348808289,0.14200092208390963,0.2288261515601783,3,unstable/ambiguous
0.5,1.0,0.14992481470108032,0.22193965315818787,0.16684646904468536,0.5138691663742065,2.96505069732666,0.0,0.7470488548278809,0.34554973821989526,0.04903417533432392,3,unstable/ambiguous
0.5,2.0,0.22842544317245483,0.1197051852941513,0.10281072556972504,0.35728323459625244,0.8754602670669556,0.0,0.738470196723938,0.5535714285714286,0.023031203566121844,0,under-selected
0.5,3.0,0.3005872964859009,0.0751369372010231,0.0679120421409607,0.2593616545200348,0.3558972477912903,0.0,0.743751049041748,0.7857142857142857,0.01634472511144131,0,under-selected
1.0,-1.0,0.06817759573459625,0.49626922607421875,0.1895003467798233,0.5577634572982788,17.739665985107422,0.0,0.7437520027160645,0.10823211875843455,0.56758669497523,2,uncertain/interference
1.0,0.0,0.08121000230312347,0.38926053047180176,0.2049584984779358,0.5967352390289307,10.773011207580566,0.0,0.7489757537841797,0.13033359193173003,0.35668789808917195,2,uncertain/interference
1.0,1.0,0.1470971405506134,0.23942755162715912,0.17652572691440582,0.5363677740097046,3.923847198486328,0.0,0.7495932579040527,0.40384615384615385,0.059447983014861996,3,unstable/ambiguous
1.0,2.0,0.223880335688591,0.12263425439596176,0.10542881488800049,0.36439049243927,1.0683704614639282,0.0,0.7514640092849731,0.2558139534883721,0.00778485491861288,0,under-selected
1.0,3.0,0.3159611225128174,0.06691079586744308,0.06112317740917206,0.23766997456550598,0.3551837205886841,0.0,0.7339738011360168,0.7692307692307693,0.007077140835102618,0,under-selected
1.5,-1.0,0.058019302785396576,0.47522082924842834,0.19911029934883118,0.5803287625312805,15.895465850830078,0.0,0.7451379299163818,0.08872864085279825,0.46053702196908053,2,uncertain/interference
1.5,0.0,0.06468293815851212,0.3952043056488037,0.20842400193214417,0.6046366095542908,10.815387725830078,0.0,0.7456164956092834,0.10732492621411323,0.32546786004882017,2,uncertain/interference
1.5,1.0,0.11665308475494385,0.24163495004177094,0.1778288185596466,0.5395488142967224,3.780229330062866,0.0,0.7329275608062744,0.30115830115830117,0.06346623270951994,3,unstable/ambiguous
1.5,2.0,0.17875947058200836,0.12221179157495499,0.10479030013084412,0.36290493607521057,0.9879345893859863,0.0,0.7365080714225769,0.65,0.03173311635475997,0,under-selected
1.5,3.0,0.24927309155464172,0.06385784596204758,0.057942863553762436,0.22768254578113556,0.2824515104293823,0.0,0.7383313179016113,0.9393939393939394,0.025223759153783564,0,under-selected
