feature,U_i,decoder_recovery_cosine,seed_stability_cosine,recovery_rank
0,0.18218791,0.77191037,0.7936325073242188,10.0
1,0.18428011,0.54374754,0.6034424602985382,28.0
2,0.18251224,0.98334074,0.9685703217983246,2.0
3,0.1832564,0.6212878,0.5869900286197662,17.0
4,0.18301041,0.80326563,0.6221452951431274,8.0
5,0.18211281,0.5641292,0.6468926966190338,25.0
6,0.18214403,0.5107145,0.6293192803859711,31.0
7,0.18203586,0.8309854,0.6552545428276062,6.0
8,0.18357365,0.675506,0.617616593837738,15.0
9,0.18345504,0.99057084,0.9747363924980164,1.0
10,0.18216749,0.5799814,0.6340954005718231,22.0
11,0.18298197,0.584375,0.6246479749679565,21.0
12,0.1824773,0.56459504,0.6624118685722351,24.0
13,0.182442,0.92270344,0.8412036597728729,3.0
14,0.1809076,0.6207512,0.6501685678958893,18.0
15,0.18029171,0.55037457,0.6441201865673065,27.0
16,0.18103452,0.9185713,0.688767820596695,4.0
17,0.18062532,0.5770835,0.4756426513195038,23.0
18,0.18132341,0.53824025,0.6760078966617584,29.0
19,0.18087046,0.7227333,0.7228236198425293,12.0
20,0.1822006,0.5846442,0.4879254251718521,20.0
21,0.18296444,0.75177526,0.739129513502121,11.0
22,0.18263261,0.5588372,0.6321268081665039,26.0
23,0.1831131,0.52932817,0.624365895986557,30.0
24,0.18246011,0.70142084,0.5211740583181381,14.0
25,0.18376426,0.7906904,0.8388745188713074,9.0
26,0.18225054,0.7047972,0.6135666072368622,13.0
27,0.18277752,0.63405365,0.6286393702030182,16.0
28,0.18317229,0.8075033,0.8234730958938599,7.0
29,0.18153708,0.8637226,0.8692930340766907,5.0
30,0.18110399,0.61125004,0.637617290019989,19.0
31,0.18166833,0.49045816,0.38613714277744293,32.0
