method,method_label,control_name,control_value,rho_model,generalization_error,reconstruction_error,clean_reconstruction_error,explained_variance,reconstruction_mse,selection_error,mask_uncertainty,paper_style_sigma_sel,support_precision,support_recall,support_f1,support_average_precision,support_roc_auc,decoder_recovery_cosine,dead_fraction,amplitude_shrinkage,mean_activation,average_l0,expected_l0,l1_raw_relu_rho_model,l1_raw_relu_selection_error,l1_raw_relu_sigma_sel,l1_gmm_threshold,l1_raw_relu_density,n_seeds
gated,Gated,l1_coefficient,0.1,0.04906079783479852,1.1189254966462943,0.4862171173095703,0.4862171173095703,0.732401967048645,0.10084892362356186,0.13299162417417726,0.04376070595895619,0.04639452782460599,0.6468319193094546,0.019145024807025922,0.036910061041887834,0.22512041218513348,0.6288067358889997,0.6587974429130554,0.0,2.3969539211175417,0.2589194029569626,0.099609375,1.5699455307135526,,,,,,5
gated,Gated,l1_coefficient,0.07,0.059650220988034686,1.1298055354368401,0.44779653549194337,0.44779653549194337,0.7759384274482727,0.08459692746400833,0.1401177737644646,0.052300034903860135,0.055738845514309854,0.661504437364888,0.02937305498297087,0.05597355206593726,0.2310197575616883,0.6237504336488089,0.6592251896858216,0.0,2.244692186604308,0.273886901140213,0.14375,1.90880707161711,,,,,,5
gated,Gated,l1_coefficient,0.05,0.07121806207797712,1.1310880975596205,0.3432606339454651,0.3432606339454651,0.8678565382957458,0.05002489760518074,0.14942455675471827,0.06122447507107982,0.06547389414703003,0.55267697263348,0.03130323629032341,0.05862475076213998,0.2058903151717557,0.6057230061342341,0.6415985345840454,0.0,3.291812926605826,0.2869097709655762,0.187109375,2.278977986495268,,,,,,5
gated,Gated,l1_coefficient,0.03,0.09395120139916657,1.1458495008401612,0.262727889418602,0.262727889418602,0.9235717415809631,0.028924616798758507,0.1662012458485719,0.078732477278644,0.08399416840991798,0.49254608543579215,0.04186900401724901,0.07680662349233244,0.2106657467035487,0.6059173546610965,0.6308132648468018,0.0,2.9996898186935566,0.3098324179649353,0.266796875,3.0064384447733303,,,,,,5
gated,Gated,l1_coefficient,0.02,0.1150154067658284,1.1580046619262625,0.2132890433073044,0.2132890433073044,0.9491924524307251,0.019282335601747035,0.182580951589681,0.09312754431381236,0.09981259346374825,0.44986170354927835,0.056072517197684,0.09946154481648141,0.1951493630809269,0.5888923954345633,0.6294367551803589,0.0,3.0542173578691907,0.31867297887802126,0.403125,3.680493016506509,,,,,,5
gated,Gated,l1_coefficient,0.015,0.13510924417856493,1.1718067128909166,0.18909342885017394,0.18909342885017394,0.960337507724762,0.01500309370458126,0.1985804413395756,0.10670490507110819,0.1142110877234844,0.3862820965628079,0.06236774668225924,0.10710646489508377,0.1862851336337446,0.5867363874251927,0.6135504126548768,0.0,3.2470837223015168,0.3364503562450409,0.519140625,4.323495813714078,,,,,,5
gated,Gated,l1_coefficient,0.01,0.16347503305241462,1.1949325260779868,0.15691440999507905,0.15691440999507905,0.9724997520446778,0.010411555413156748,0.21963738125813936,0.12440658374129374,0.13274530446509544,0.377039400209064,0.0856337333846391,0.13921692529061963,0.1913296404313311,0.5954207639599565,0.6162984371185303,0.0,2.9084832045089493,0.3540047943592072,0.730859375,5.231201057677268,,,,,,5
gated,Gated,l1_coefficient,0.007,0.19075056213454503,1.203450833437776,0.13012191653251648,0.13012191653251648,0.9811491966247559,0.007155055832117796,0.24229120609596286,0.14082871502105648,0.14936918746137975,0.33285306354937527,0.09086482508374846,0.14002639228438882,0.17922883699189399,0.593258776422754,0.6054440379142761,0.0,4.118668521375534,0.37435043454170225,0.898828125,6.104017988305441,,,,,,5
gated,Gated,l1_coefficient,0.005,0.2270505494161644,1.2864535656562226,0.10781486928462983,0.10781486928462983,0.9870792150497436,0.00490283714607358,0.2710277921853124,0.152885295417316,0.16354728791535256,0.24330278515507828,0.1439947902604717,0.17950091152402708,0.16010361088208983,0.5651068420582874,0.5896147131919861,0.0,3.425219152838255,0.39276736974716187,1.933984375,7.265617581317261,,,,,,5
gated,Gated,l1_coefficient,0.003,0.2657094874475543,1.304616858254567,0.0941799134016037,0.0941799134016037,0.9901421427726745,0.003728917753323913,0.30124076899065355,0.17157271208672326,0.18157336955298975,0.24134493711131286,0.1836999701062621,0.2073266642327781,0.16836240204278244,0.5687976830900294,0.6208770871162415,0.0,4.939271038675331,0.41107454895973206,2.455859375,8.502703598321737,,,,,,5
gated,Gated,l1_coefficient,0.002,0.29854135010507293,1.308498747866041,0.07981624007225037,0.07981624007225037,0.9928991675376893,0.002685388457030058,0.3292785979480087,0.18349668900042554,0.19366229065438267,0.19236941416729014,0.1916036738343308,0.1906493453616201,0.15532499239068193,0.5564601511417895,0.6232911825180054,0.0,4.632698865430369,0.417584091424942,3.221484375,9.553323203362334,,,,,,5
gated,Gated,l1_coefficient,0.0015,0.3234007025413185,1.3728410758599427,0.07790310680866241,0.07790310680866241,0.9932823419570923,0.0025362185202538966,0.3492506689405566,0.18902406347136072,0.20041051339115662,0.18625133257526394,0.24138881817457136,0.20741845321024682,0.15623680729261616,0.5501000807587623,0.6081280469894409,0.0,1.3029530374663885,0.4317800164222717,4.3078125,10.348822481322191,,,,,,5
gated,Gated,l1_coefficient,0.001,0.34986924908801315,1.3966201337031632,0.07507831007242202,0.07507831007242202,0.9937177538871765,0.0023776410380378366,0.3693131508658126,0.19688317755513304,0.20724954826282754,0.16649239731803514,0.26597224968278776,0.2045397917316995,0.1592080018481489,0.5547934870587569,0.621268880367279,0.0,1.4347171540684194,0.45914432406425476,5.126953125,11.19581597081642,,,,,,5
gated,Gated,l1_coefficient,0.0007,0.3697205199477013,1.407900932437593,0.06827820092439651,0.06827820092439651,0.9947869658470154,0.001983513473533094,0.3862798506548971,0.19761015963458406,0.20919923282763678,0.1514055188464234,0.3071355246057204,0.20139143323524672,0.1512848896439226,0.5440541187427785,0.6054564237594604,0.0,4.0826498832004035,0.4617385447025299,6.5640625,11.83105663832644,,,,,,5
gated,Gated,l1_coefficient,0.0005,0.37006414682187294,1.3739339137921713,0.06574268937110901,0.06574268937110901,0.9951933145523071,0.0018155316822230816,0.38538170171445596,0.20103642015817033,0.21144993578557236,0.1546211875591515,0.28551422799111664,0.1982966800869868,0.16244219323012965,0.565385711668424,0.609754478931427,0.00625,4.392412968144037,0.45822311043739317,6.058984375,11.842052698299934,,,,,,5
gated,Gated,l1_coefficient,0.0003,0.38560326587978794,1.401893786020503,0.06599641665816307,0.06599641665816307,0.9951266407966614,0.001845708698965609,0.3991658202562299,0.20262344670031554,0.212861001794764,0.14115532209123208,0.3249454620582918,0.19663706563403077,0.15426135370351485,0.5499985614773282,0.6043089389801025,0.0,3.556377613853546,0.4723614096641541,7.384375,12.339304508153214,,,,,,5
gated,Gated,l1_coefficient,0.0002,0.3982950771684159,1.384288815771134,0.0656311795115471,0.0656311795115471,0.9952127456665039,0.0018078511580824851,0.40615971722703537,0.20444914396248634,0.21530867628873204,0.1500450701173198,0.3558776985357891,0.21099061807536618,0.1666827267728205,0.5801318517637819,0.6155990719795227,0.0,4.525572961642509,0.4772668182849884,7.637109375,12.745442469389308,,,,,,5
gated,Gated,l1_coefficient,1e-05,0.4060418618952909,1.4564207384820782,0.06677020490169525,0.06677020490169525,0.995044493675232,0.0018743291264399886,0.4164094727228516,0.20611205452903056,0.21696009738987235,0.13519330363873383,0.3410607051925516,0.1924449916267374,0.1486356270592124,0.5459915775615449,0.5981308221817017,0.0,4.651540441023093,0.4872000217437744,8.222265625,12.993339580649309,,,,,,5
gated,Gated,l1_coefficient,5e-05,0.4066407340155195,1.4551003650479502,0.0682042546570301,0.0682042546570301,0.9947428941726685,0.001986802089959383,0.4158272756271856,0.20629391363465516,0.21716585286807777,0.138794283534035,0.33584589963829176,0.19490989996419428,0.14836325545139373,0.5564433850514783,0.5968837976455689,0.0,6.625292830531447,0.4795385837554932,7.823046875,13.012503488496623,,,,,,5
gated,Gated,l1_coefficient,0.0001,0.40760955628169454,1.4594475934248103,0.06055470854043961,0.06055470854043961,0.9959431290626526,0.0015349155757576228,0.416971545186108,0.20261392463351777,0.2146719846553181,0.13525752315209352,0.35757459334531416,0.19585272512617286,0.14652596292978295,0.5494636858703299,0.6082633852958679,0.00625,4.1632773611161324,0.4773256182670593,8.498828125,13.043505801014225,,,,,,5
gated,Gated,l1_coefficient,3e-06,0.4108673917529089,1.429726573284786,0.058192060142755506,0.058192060142755506,0.9962445139884949,0.0014205637853592634,0.42010341940244444,0.20753952308367424,0.2185305433479244,0.13254661855464495,0.35348117142967234,0.19110379191661167,0.14845499304451898,0.5503456974114675,0.6044865012168884,0.0,5.959434340101262,0.4828750967979431,8.60546875,13.147756536093084,,,,,,5
gated,Gated,l1_coefficient,2e-05,0.4142148346887339,1.4656694976230589,0.05968007519841194,0.05968007519841194,0.9960555672645569,0.0014942779438570143,0.4218912598665227,0.20345134966151474,0.21434427062594374,0.13039131186488942,0.34977660638400127,0.18976909463763508,0.14915803377509546,0.5547825831425967,0.6045673131942749,0.0,4.85601547505635,0.4897815823554993,8.6109375,13.254874710039484,,,,,,5
gated,Gated,l1_coefficient,1e-06,0.41426377821774735,1.4299386517119475,0.06424218341708184,0.06424218341708184,0.9954147100448608,0.0017370998859405518,0.42175874307889105,0.20995204837688228,0.22085344622550598,0.14281051695764446,0.35362021553252965,0.2032366077373598,0.1579563943069905,0.5581559382815503,0.6090233325958252,0.0,2.195277819133938,0.4866486132144928,7.91953125,13.256440902967915,,,,,,5
gated,Gated,l1_coefficient,0.0,0.418571077530882,1.4464465483679514,0.06329773291945458,0.06329773291945458,0.9955744028091431,0.001675097644329071,0.4245022167938572,0.20688437296494716,0.21856379110711877,0.13837796495557075,0.3858594614105165,0.2025749929995695,0.1591869046528288,0.5595103646420032,0.6021445274353028,0.0,4.695175446676499,0.48760610818862915,9.069921875,13.394274480988225,,,,,,5
l1,L1-ReLU,l1_coefficient,1.0,0.02491455078125,0.7558613156221969,0.6244145035743713,0.6244145035743713,0.5675699353218079,0.16383382976055144,0.0896240234375,0.0,0.024051642417907713,0.711237654303963,0.17723290173446488,0.2835874723699052,0.20919288132465796,0.5846205247272989,0.8185836791992187,0.2,0.1384886468109901,0.029987109825015068,0.797265625,0.797265625,0.038037109375,0.09005126953125,0.03610959053039551,0.280731064081192,0.038037109375,5
l1,L1-ReLU,l1_coefficient,0.3,0.06334228515625,0.5388657901154572,0.36067203879356385,0.36067203879356385,0.8564100742340088,0.054352405667304995,0.0795166015625,0.0,0.05883095264434814,0.6641679283366487,0.41898322883976596,0.513220535238869,0.3361616951946304,0.6976262531498406,0.9328687787055969,0.025,0.39113948426876977,0.06714981496334076,2.026953125,2.026953125,0.1018798828125,0.09617919921875,0.09034843444824218,0.23755636513233186,0.1018798828125,5
l1,L1-ReLU,l1_coefficient,0.1,0.14888916015625,0.6791659385866182,0.2107484072446823,0.2107484072446823,0.9508819222450257,0.018578555062413217,0.1349365234375,0.0,0.12460558414459229,0.3842208157937508,0.5695444514159507,0.45846755816097995,0.26206291913420665,0.7337379055096742,0.8319118022918701,0.0,0.8685570622136677,0.10680377036333084,4.764453125,4.764453125,0.25404052734375,0.2142822265625,0.18617775440216064,0.16422822773456575,0.25404052734375,5
l1,L1-ReLU,l1_coefficient,0.03,0.25333251953125,0.8976206320694862,0.09597999900579453,0.09597999900579453,0.9898007154464722,0.003863500477746129,0.23388671875,0.0,0.18419935703277587,0.236074604144649,0.5967363412566803,0.33828245047964206,0.1817862711758104,0.6908284963561254,0.6959238290786743,0.0,0.9878219517522313,0.15390279591083528,8.106640625,8.106640625,0.43358154296875,0.387353515625,0.24115478992462158,0.14344351589679719,0.43358154296875,5
