method,run_id,seed,control_name,control_value,checkpoint_kind,metric_schema_version,checkpoint_size,checkpoint_mtime_ns,metric_definition,decoder_pairwise_cosine_similarity
batchtopk,batchtopk_k=0.0625_seed=0,0,k,0.0625,last,1,1059183,1786569963958457522,Sparse but Wrong Eq. (4),0.07329087571575908
batchtopk,batchtopk_k=0.09375_seed=0,0,k,0.09375,last,1,1059183,1786569962202432087,Sparse but Wrong Eq. (4),0.07346155973106494
batchtopk,batchtopk_k=0.125_seed=0,0,k,0.125,last,1,1059183,1786569969986544818,Sparse but Wrong Eq. (4),0.07332355024966425
batchtopk,batchtopk_k=0.1875_seed=0,0,k,0.1875,last,1,1059183,1786569954742324011,Sparse but Wrong Eq. (4),0.07347234844168445
batchtopk,batchtopk_k=0.25_seed=0,0,k,0.25,last,1,1059183,1786569987842803264,Sparse but Wrong Eq. (4),0.07350303755191967
batchtopk,batchtopk_k=0.5_seed=0,0,k,0.5,last,1,1059183,1786569954730323837,Sparse but Wrong Eq. (4),0.07608524214250355
batchtopk,batchtopk_k=0.75_seed=0,0,k,0.75,last,1,1059183,1786569966502494366,Sparse but Wrong Eq. (4),0.07707730954651157
batchtopk,batchtopk_k=1.0_seed=0,0,k,1.0,last,1,1059183,1786569967262505373,Sparse but Wrong Eq. (4),0.07660304717970808
batchtopk,batchtopk_k=1.5_seed=0,0,k,1.5,last,1,1059183,1786569963922457000,Sparse but Wrong Eq. (4),0.07777005634986334
batchtopk,batchtopk_k=10.0_seed=0,0,k,10.0,last,1,1059183,1786569988294809803,Sparse but Wrong Eq. (4),0.08530163204163572
batchtopk,batchtopk_k=104.0_seed=0,0,k,104.0,last,1,1059183,1786569989934833529,Sparse but Wrong Eq. (4),0.0927385666886317
batchtopk,batchtopk_k=112.0_seed=0,0,k,112.0,last,1,1059183,1786569988422811655,Sparse but Wrong Eq. (4),0.08919354821231334
batchtopk,batchtopk_k=12.0_seed=0,0,k,12.0,last,1,1059183,1786569988650814953,Sparse but Wrong Eq. (4),0.08555149039364013
batchtopk,batchtopk_k=120.0_seed=0,0,k,120.0,last,1,1059183,1786569997198938598,Sparse but Wrong Eq. (4),0.07310885283953153
batchtopk,batchtopk_k=124.0_seed=0,0,k,124.0,last,1,1059183,1786569989730830578,Sparse but Wrong Eq. (4),0.07342281523740664
batchtopk,batchtopk_k=128.0_seed=0,0,k,128.0,last,1,1059183,1786569990214837580,Sparse but Wrong Eq. (4),0.0717940868759656
batchtopk,batchtopk_k=14.0_seed=0,0,k,14.0,last,1,1059183,1786569962778440431,Sparse but Wrong Eq. (4),0.08903297257466448
batchtopk,batchtopk_k=16.0_seed=0,0,k,16.0,last,1,1059183,1786569973642597751,Sparse but Wrong Eq. (4),0.08592179834504456
batchtopk,batchtopk_k=18.0_seed=0,0,k,18.0,last,1,1059183,1786569989246823576,Sparse but Wrong Eq. (4),0.09237714700544095
batchtopk,batchtopk_k=2.0_seed=0,0,k,2.0,last,1,1059183,1786569975290621609,Sparse but Wrong Eq. (4),0.0784910214615303
