method,method_label,control_name,control_value,amplitude_shrinkage,average_l0,checkpoint_step,checkpoint_training_loss,clean_reconstruction_error,dead_feature_window,dead_fraction,decoder_recovery_cosine,decoder_recovery_ground_truth,decoder_recovery_sae,expected_l0,explained_variance,generalization_error,ground_truth_expected_l0,ground_truth_match_coverage,ground_truth_num_features,init_seed,input_dim,l1_raw_relu_rho_model,l1_raw_relu_selection_error,l1_raw_relu_sigma_sel,mask_uncertainty,matched_decoder_recovery_cosine,matched_latent_count,mean_activation,paper_style_sigma_sel,reconstruction_error,reconstruction_mse,rho_model,sae_latent_match_coverage,sae_width,selection_error,support_average_precision,support_density,support_f1,support_precision,support_recall,support_roc_auc,target_model_density,train_steps,union_width,unmatched_ground_truth_features,unmatched_sae_latents,l1_gmm_threshold,l1_raw_relu_density,n_seeds
vgsae,VG-SAE,gamma,8.0,-0.005956706006101333,0.080078125,999.0,3.140681028366089,0.9640215039253235,100.0,0.0,0.5482256412506104,0.5482256412506104,0.5482256412506104,0.5075761079788208,-0.0069391727447509766,1.000670949157463,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.003292746816018788,0.5482256412506104,128.0,0.0036742337979376316,0.00394541851516042,0.9640215039253235,1.4692282676696777,0.0039654383435845375,1.0,128.0,0.10279141239952137,0.10223796172414112,0.1,0.0027326552299984817,0.21951219512195122,0.001374885426214482,0.49623218308685046,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,7.0,0.014980217393100003,0.087890625,999.0,2.1215453147888184,0.8796942234039307,100.0,0.0,0.5761076211929321,0.5761076211929321,0.5761076211929321,0.5449026823043823,0.16151893138885498,0.9903729634545576,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.00366596026015402,0.5761076211929321,128.0,0.006652762182056904,0.004229900071967791,0.8796942234039307,1.2234305143356323,0.004257052205502987,1.0,128.0,0.10268010400257035,0.11534450696565457,0.1,0.004855105446821423,0.35555555555555557,0.002444240757714635,0.5212374388363608,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,9.0,0.0058000804014623104,0.1015625,999.0,3.4380412101745605,0.9872720837593079,100.0,0.0,0.5390106439590454,0.5390106439590454,0.5390106439590454,0.5724191665649414,-0.05609631538391113,1.000907354752318,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.003449346816365229,0.5390106439590454,128.0,0.003544620703905821,0.00444774753088472,0.9872720837593079,1.5409536361694336,0.004472025204449892,1.0,128.0,0.10316196740636255,0.10041822063775238,0.1,0.004546832373446499,0.28846153846153844,0.00229147571035747,0.4903501875211026,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,10.0,-0.0012946606454195177,0.201171875,999.0,3.629434108734131,1.0123568773269653,100.0,0.0,0.5227415561676025,0.5227415561676025,0.5227415561676025,0.6199302673339844,-0.11044502258300781,1.0025361185074313,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.003499973260679131,0.5227415561676025,128.0,0.003626022022217512,0.004816017226960564,1.0123568773269653,1.6202539205551147,0.004843204747885466,1.0,128.0,0.1036064232948408,0.09846877048690214,0.1,0.005113550909911264,0.1650485436893204,0.0025970058050717995,0.48658394513158076,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,12.0,0.008657201730344566,0.298828125,999.0,3.860490322113037,1.0494697093963623,100.0,0.0,0.45711034536361694,0.45711034536361694,0.45711034536361694,0.6670739650726318,-0.19335484504699707,1.00245843745212,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.003605733116385029,0.45711034536361694,128.0,0.003635298926383257,0.005183209845571756,1.0494697093963623,1.7412279844284058,0.005211514886468649,1.0,128.0,0.10386474848692226,0.09807176956809022,0.1,0.006568144499178982,0.1437908496732026,0.003360831041857623,0.48443038914506836,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,6.0,0.031008711596828237,0.296875,999.0,0.22542214393615723,0.7774373888969421,100.0,0.0,0.6646504402160645,0.6646504402160645,0.6646504402160645,1.0530195236206055,0.34512168169021606,1.0261811083292942,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.00618679968937581,0.6646504402160645,128.0,0.017801323905587196,0.008132281099033058,0.7774373888969421,0.9555351734161377,0.00822671502828598,1.0,128.0,0.1047870236295448,0.13552105865020408,0.1,0.01373544341594506,0.3026315789473684,0.007027192178429576,0.5671742213501572,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,5.0,0.045256802027322934,0.560546875,999.0,-0.7270936965942383,0.7397506833076477,100.0,0.0,0.6772181987762451,0.6772181987762451,0.6772181987762451,1.8047564029693604,0.4070739150047302,1.025904255060926,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.01040079006075506,0.6772181987762451,128.0,0.026212967932224274,0.013864464445479854,0.7397506833076477,0.865140438079834,0.014099659398198128,1.0,128.0,0.108146223579065,0.14774242925093786,0.1,0.02722084004097761,0.3240418118466899,0.014207149404216315,0.5927626192759915,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,4.0,0.07807937461900932,0.8359375,999.0,-1.2779121398925781,0.6657851338386536,100.0,0.0,0.6828646659851074,0.6828646659851074,0.6828646659851074,3.334838628768921,0.5197160840034485,1.0214513551649316,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.020376650656297804,0.6828646659851074,128.0,0.03367752581834793,0.025337378586432625,0.6657851338386536,0.7007838487625122,0.026053426787257195,1.0,128.0,0.11659622658388624,0.1460037980689604,0.1,0.03642099225695441,0.2967289719626168,0.019401161014359916,0.5852650951367057,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,3.5,0.13447793578165598,0.830078125,999.0,-1.5504579544067383,0.6131518483161926,100.0,0.0,0.6973720788955688,0.6973720788955688,0.6973720788955688,4.941641807556152,0.5926517248153687,0.9876329757494775,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.031637357939596066,0.6973720788955688,128.0,0.03710287809371948,0.037066707169404786,0.6131518483161926,0.594363272190094,0.03860657662153244,1.0,128.0,0.12531294781667796,0.1569677599757777,0.1,0.04360923827284464,0.35764705882352943,0.02322028719828903,0.596765360034768,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,3.0,0.16642734287161934,1.056640625,999.0,-2.07781982421875,0.5410212278366089,100.0,0.0,0.6833905577659607,0.6833905577659607,0.6833905577659607,7.72707986831665,0.6828546524047852,0.9785150760091648,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.0502316762139158,0.6833905577659607,128.0,0.04343853145837784,0.056645443001047575,0.5410212278366089,0.4627479314804077,0.06036781147122383,1.0,128.0,0.1422339625279777,0.15454781662667408,0.1,0.05587695781007478,0.3659889094269871,0.03024747937671861,0.5772174018837414,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
