model,width,lambda,mse,rho,entropy,v_eff,susceptibility,dead_fraction,interference_energy,variance_energy,decoder_recovery_cosine,support_precision,support_recall,amplitude_shrinkage
vg,16,-1.0,0.31679046154022217,0.20732825994491577,0.4730496406555176,0.15020489692687988,0.0019961893558502197,0.0,0.6301348209381104,0.9120902419090271,0.7002681493759155,0.11377245508982035,0.04086021505376344,0.8857797384262085
vg_no_variance,16,-1.0,0.22785694897174835,0.21001040935516357,0.4741916060447693,0.15071219205856323,0.00630265474319458,0.0,0.845863938331604,2.1504921913146973,0.6779813766479492,0.19021739130434784,0.07526881720430108,1.273664951324463
vg,16,0.0,0.28617727756500244,0.20533207058906555,0.4747554063796997,0.15083014965057373,0.014517419040203094,0.0,0.8512929677963257,0.9864827990531921,0.6642912030220032,0.19310344827586207,0.060215053763440864,0.8544502258300781
vg_no_variance,16,0.0,0.21280458569526672,0.203707754611969,0.47277453541755676,0.14998102188110352,0.014661908149719238,0.0,0.7739814519882202,2.2372171878814697,0.6832880973815918,0.19852941176470587,0.05806451612903226,1.2661617994308472
vg,16,1.0,0.2890820801258087,0.17829342186450958,0.4540342688560486,0.14157675206661224,0.044980306178331375,0.0,0.5809327363967896,0.9744889140129089,0.662738025188446,0.2413793103448276,0.015053763440860216,0.800647497177124
vg_no_variance,16,1.0,0.20312628149986267,0.1806865930557251,0.4557666480541229,0.14240124821662903,0.03543622046709061,0.0,0.555488646030426,2.279726982116699,0.687156081199646,0.08695652173913043,0.008602150537634409,1.2007590532302856
vg,16,2.0,0.33672529458999634,0.1153714582324028,0.35218164324760437,0.10079563409090042,0.06292196363210678,0.0,0.2302716076374054,0.7408261299133301,0.6570953130722046,0.0,0.0,0.5244211554527283
vg_no_variance,16,2.0,0.23808369040489197,0.13283531367778778,0.38336488604545593,0.11296983808279037,0.04785127937793732,0.0,0.2932185232639313,1.9484120607376099,0.6844888925552368,0.3333333333333333,0.002150537634408602,0.9723799228668213
l1,16,nan,0.1043296754360199,0.52734375,nan,nan,nan,nan,nan,nan,0.6626933813095093,nan,nan,nan
topk,16,nan,0.22694529592990875,0.125,nan,nan,nan,nan,nan,nan,0.6699786186218262,nan,nan,nan
gated,16,nan,0.199867844581604,0.15973687171936035,nan,nan,nan,nan,nan,nan,0.6550412178039551,nan,nan,nan
